Case Number,ID,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
HW546937,9403528,11/25/2013 05:40:00 AM,017XX N MILWAUKEE AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1434,32,6,1161902,1911304,2013,11/29/2013 08:46:50 AM,41.912289193,-87.68064812,"(41.912289193, -87.68064812)"
HW546243,9403589,11/24/2013 08:00:00 AM,058XX N RIDGE AVE,810,THEFT,OVER $500,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,2013,48,6,1164952,1939187,2013,11/29/2013 12:09:46 PM,41.988737226,-87.668648861,"(41.988737226, -87.668648861)"
HW545993,9402744,11/24/2013 04:07:00 AM,010XX W BELMONT AVE,820,THEFT,$500 AND UNDER,BANK,FALSE,FALSE,1924,44,6,1168911,1921462,2013,11/29/2013 11:04:11 AM,41.940014015,-87.6546037,"(41.940014015, -87.6546037)"
HW549278,9405876,11/24/2013 07:00:00 PM,049XX N WINCHESTER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2032,47,6,1162479,1932862,2013,11/29/2013 11:25:56 AM,41.971433494,-87.677922839,"(41.971433494, -87.677922839)"
HW548467,9405363,11/26/2013 02:00:00 AM,013XX N HOYNE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1424,32,6,1162111,1909140,2013,11/29/2013 11:58:44 AM,41.906346652,-87.679940871,"(41.906346652, -87.679940871)"
HW548615,9405499,11/26/2013 02:00:00 AM,035XX W ADDISON ST,810,THEFT,OVER $500,CTA TRAIN,FALSE,FALSE,1732,35,6,1152383,1923751,2013,11/29/2013 10:13:40 AM,41.946638233,-87.715288852,"(41.946638233, -87.715288852)"
HW548723,9405660,11/26/2013 07:55:00 AM,021XX N LONG AVE,810,THEFT,OVER $500,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,2515,37,6,1139990,1913950,2013,11/29/2013 11:28:32 AM,41.919979458,-87.761082782,"(41.919979458, -87.761082782)"
HW548430,9404998,11/25/2013 07:30:00 AM,054XX W FULLERTON AVE,810,THEFT,OVER $500,"SCHOOL, PUBLIC, GROUNDS",FALSE,FALSE,2515,37,6,1139856,1915388,2013,11/29/2013 09:26:54 AM,41.923927939,-87.761539898,"(41.923927939, -87.761539898)"
HW548408,9405002,11/25/2013 07:45:00 PM,017XX N DAMEN AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1434,32,6,1162713,1911487,2013,11/29/2013 11:47:49 AM,41.912774384,-87.677663592,"(41.912774384, -87.677663592)"
HW548435,9405014,11/25/2013 09:30:00 PM,021XX W TOUHY AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2411,50,6,1160707,1947671,2013,11/29/2013 11:34:55 AM,42.012106934,-87.684025819,"(42.012106934, -87.684025819)"
HW548602,9405199,11/26/2013 12:15:00 AM,059XX W LAWRENCE AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,1622,45,6,1136023,1931267,2013,11/29/2013 11:39:07 AM,41.967570839,-87.77524418,"(41.967570839, -87.77524418)"
HW549976,9406705,11/25/2013 11:30:00 PM,019XX W SUMMERDALE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2012,40,6,1162386,1935579,2013,11/29/2013 10:12:46 AM,41.978891004,-87.678188404,"(41.978891004, -87.678188404)"
HW549796,9406806,11/26/2013 04:00:00 PM,027XX W NORTH AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1421,1,6,1158054,1910568,2013,11/29/2013 11:40:14 AM,41.910349033,-87.694804766,"(41.910349033, -87.694804766)"
HW549714,9406910,11/26/2013 03:00:00 PM,044XX N BERNARD ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,TRUE,1723,33,6,1152552,1929166,2013,11/29/2013 10:16:11 AM,41.961494026,-87.714523936,"(41.961494026, -87.714523936)"
HW550122,9406940,11/20/2013 07:00:00 PM,024XX N STOCKTON DR,810,THEFT,OVER $500,STREET,FALSE,FALSE,1935,43,6,1173395,1916697,2013,11/29/2013 09:00:31 AM,41.92684007,-87.638265699,"(41.92684007, -87.638265699)"
HW550143,9406987,11/19/2013 12:00:00 PM,001XX S CENTRAL AVE,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1513,29,6,1139038,1898838,2013,11/29/2013 12:02:44 PM,41.878527677,-87.764948501,"(41.878527677, -87.764948501)"
HW550342,9407133,11/22/2013 12:01:00 AM,006XX W DEMING PL,890,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1935,43,6,1171723,1917072,2013,11/29/2013 11:44:58 AM,41.927906114,-87.644398441,"(41.927906114, -87.644398441)"
HW550144,9407607,11/25/2013 07:00:00 PM,0000X W 87TH ST,810,THEFT,OVER $500,CTA PLATFORM,FALSE,FALSE,634,21,6,1177569,1847247,2013,11/29/2013 06:24:00 AM,41.736169954,-87.625032414,"(41.736169954, -87.625032414)"
HW550951,9407623,11/24/2013 07:00:00 PM,012XX W FARWELL AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,2431,49,6,1166513,1945722,2013,11/29/2013 08:49:53 AM,42.006636017,-87.662719093,"(42.006636017, -87.662719093)"
HW549000,9407658,11/26/2013 04:00:00 PM,084XX S MARQUETTE AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,423,7,6,1195672,1849422,2013,11/29/2013 06:18:01 AM,41.741710357,-87.558638746,"(41.741710357, -87.558638746)"
HW549036,9407661,11/26/2013 04:20:00 PM,021XX N KEDZIE AVE,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1414,35,6,1154735,1913991,2013,11/29/2013 10:18:39 AM,41.919809188,-87.706905693,"(41.919809188, -87.706905693)"
HW548836,9407672,11/26/2013 01:50:00 PM,069XX S THROOP ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,734,17,6,1168826,1858436,2013,11/29/2013 05:50:14 AM,41.767067077,-87.656741304,"(41.767067077, -87.656741304)"
HW549600,9406157,11/26/2013 11:00:00 PM,032XX N SHEFFIELD AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1924,44,6,1169000,1921639,2013,11/29/2013 11:05:49 AM,41.940497777,-87.654271445,"(41.940497777, -87.654271445)"
HW549621,9406173,11/27/2013 02:20:00 AM,001XX N AUSTIN BLVD,820,THEFT,$500 AND UNDER,SIDEWALK,TRUE,FALSE,1512,29,6,1136400,1900366,2013,11/29/2013 12:13:20 PM,41.882768247,-87.774598318,"(41.882768247, -87.774598318)"
HW549674,9406234,11/19/2013 11:24:00 AM,070XX N PAULINA ST,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2423,49,6,1163859,1947149,2013,11/29/2013 09:16:56 AM,42.010608366,-87.672442996,"(42.010608366, -87.672442996)"
HW549857,9406567,10/31/2013 02:00:00 AM,006XX W IRVING PARK RD,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1925,46,6,1170870,1926754,2013,11/29/2013 12:11:46 PM,41.954492668,-87.647248118,"(41.954492668, -87.647248118)"
HW549846,9406579,11/26/2013 07:30:00 PM,019XX W POTOMAC AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,1,6,1163177,1908706,2013,11/29/2013 11:45:20 AM,41.905133376,-87.676037264,"(41.905133376, -87.676037264)"
HW549192,9405829,11/24/2013 02:00:00 PM,014XX W CUYLER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1912,47,6,1165644,1927027,2013,11/29/2013 09:20:45 AM,41.955354991,-87.666451772,"(41.955354991, -87.666451772)"
HW548740,9408554,11/26/2013 12:00:00 PM,055XX S DORCHESTER AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,235,5,6,1186460,1868268,2013,11/29/2013 11:49:03 AM,41.793648081,-87.591795348,"(41.793648081, -87.591795348)"
HW551946,9408642,11/21/2013 11:00:00 AM,053XX W BELMONT AVE,820,THEFT,$500 AND UNDER,BARBERSHOP,FALSE,FALSE,2514,30,6,1140334,1920720,2013,11/29/2013 12:14:03 PM,41.938550739,-87.759652421,"(41.938550739, -87.759652421)"
HW548811,9407676,11/26/2013 01:35:00 PM,015XX W 110TH ST,840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,FALSE,FALSE,2234,34,6,1167661,1831737,2013,11/29/2013 10:36:35 AM,41.693826126,-87.661775045,"(41.693826126, -87.661775045)"
HW551127,9407764,11/21/2013 08:30:00 AM,060XX S LAFAYETTE AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,311,20,6,1176985,1864601,2013,11/29/2013 06:38:52 AM,41.783804485,-87.626649676,"(41.783804485, -87.626649676)"
HW551181,9407818,11/11/2013 06:30:00 PM,006XX W HUBBARD ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1214,27,6,1171806,1903265,2013,11/29/2013 06:33:05 AM,41.890017142,-87.64450089,"(41.890017142, -87.64450089)"
HW551168,9407820,11/23/2013 12:00:00 PM,022XX E 69TH ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,331,5,6,1192187,1859688,2013,11/29/2013 06:47:10 AM,41.769966487,-87.571074149,"(41.769966487, -87.571074149)"
HW551224,9407876,11/26/2013 11:30:00 PM,011XX N WINCHESTER AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1212,1,6,1163156,1907540,2013,11/29/2013 06:14:47 AM,41.901934228,-87.676147216,"(41.901934228, -87.676147216)"
HW547432,9407892,11/24/2013 08:00:00 PM,022XX W CORTEZ ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1212,32,6,1161242,1906990,2013,11/29/2013 06:42:12 AM,41.900465004,-87.683192897,"(41.900465004, -87.683192897)"
HW551295,9407920,11/14/2013 08:00:00 AM,034XX W DIVERSEY AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1412,35,6,1153090,1918368,2013,11/29/2013 08:57:00 AM,41.931852852,-87.712833338,"(41.931852852, -87.712833338)"
HW550171,9407935,11/26/2013 05:00:00 PM,004XX N WABASH AVE,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,1834,42,6,1176705,1903079,2013,11/29/2013 06:36:29 AM,41.88939742,-87.626515381,"(41.88939742, -87.626515381)"
HW551415,9407996,11/24/2013 07:00:00 PM,070XX S EAST END AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,332,5,6,1188949,1858849,2013,11/29/2013 06:37:39 AM,41.767742337,-87.582969909,"(41.767742337, -87.582969909)"
HW545429,9408033,11/19/2013 08:00:00 AM,028XX W HARRISON ST,810,THEFT,OVER $500,APARTMENT,FALSE,FALSE,1135,2,6,1157605,1897202,2013,11/29/2013 08:14:35 AM,41.873680682,-87.696818473,"(41.873680682, -87.696818473)"
HW551509,9408072,11/15/2013 12:01:00 AM,011XX S CALIFORNIA AVE,843,THEFT,ATTEMPT FINANCIAL IDENTITY THEFT,APARTMENT,FALSE,FALSE,1135,28,6,1157823,1894979,2013,11/29/2013 10:39:36 AM,41.867576108,-87.696078673,"(41.867576108, -87.696078673)"
HW551340,9408119,11/24/2013 10:00:00 PM,070XX N PAULINA ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2423,49,6,1163952,1946732,2013,11/29/2013 08:27:01 AM,42.009462138,-87.672112665,"(42.009462138, -87.672112665)"
HW551692,9408231,11/27/2013 12:00:00 AM,008XX W MONTROSE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1914,46,6,1169612,1929453,2013,11/29/2013 09:53:59 AM,41.961926358,-87.651793769,"(41.961926358, -87.651793769)"
HW550069,9408245,11/26/2013 12:01:00 AM,022XX N CALIFORNIA AVE,820,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,1414,35,6,1157298,1914721,2013,11/29/2013 09:19:59 AM,41.921760604,-87.69746891,"(41.921760604, -87.69746891)"
HW550125,9408247,11/08/2013 12:30:00 PM,027XX N ELSTON AVE,890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1432,1,6,1160455,1918084,2013,11/29/2013 11:00:22 AM,41.930924082,-87.685775914,"(41.930924082, -87.685775914)"
HW548895,9408375,11/26/2013 08:30:00 AM,035XX W IRVING PARK RD,820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,FALSE,FALSE,1732,35,6,1152168,1926324,2013,11/29/2013 09:35:43 AM,41.953702983,-87.716011011,"(41.953702983, -87.716011011)"
HW490235,9406703,10/12/2013 01:53:00 PM,030XX W AINSLIE ST,890,THEFT,FROM BUILDING,LIBRARY,FALSE,FALSE,1713,33,6,1154875,1932430,2013,11/29/2013 10:43:54 AM,41.970404286,-87.705895389,"(41.970404286, -87.705895389)"
HW436927,9292105,09/03/2013 11:00:00 AM,102XX S AVENUE J,820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,432,10,6,1202443,1837879,2013,11/29/2013 09:42:40 AM,41.709865586,-87.534223281,"(41.709865586, -87.534223281)"
HW235350,9090356,04/16/2013 11:00:00 AM,060XX S MAY ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,712,16,6,1169725,1864759,2013,11/29/2013 01:45:42 AM,41.784398709,-87.653262824,"(41.784398709, -87.653262824)"
HW532746,9389673,11/14/2013 06:20:00 AM,001XX N CLINTON ST,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,121,42,6,1172754,1900827,2013,11/28/2013 07:08:31 AM,41.883306183,-87.641091664,"(41.883306183, -87.641091664)"
HW532966,9389702,11/13/2013 08:00:00 PM,028XX S WENTWORTH AVE,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,914,11,6,1175377,1885663,2013,11/28/2013 07:08:34 AM,41.84163667,-87.631914867,"(41.84163667, -87.631914867)"
HW531527,9388289,11/12/2013 05:30:00 PM,008XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,FALSE,FALSE,1833,42,6,1177379,1906245,2013,11/28/2013 07:03:12 AM,41.898069817,-87.623944075,"(41.898069817, -87.623944075)"
HW530612,9387854,09/03/2013 06:30:00 AM,002XX E PEARSON ST,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1833,42,6,1178568,1906142,2013,11/28/2013 07:03:10 AM,41.897760119,-87.619580188,"(41.897760119, -87.619580188)"
HW530812,9387400,11/12/2013 10:00:00 AM,062XX S DR MARTIN LUTHER KING JR DR,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,311,20,6,1179958,1863503,2013,11/28/2013 07:03:07 AM,41.780723898,-87.615783262,"(41.780723898, -87.615783262)"
HW529789,9386152,11/11/2013 06:20:00 PM,009XX W EASTWOOD AVE,810,THEFT,OVER $500,OTHER,FALSE,FALSE,1914,46,6,1169127,1931037,2013,11/28/2013 05:33:10 PM,41.966283477,-87.653530693,"(41.966283477, -87.653530693)"
HW529169,9385555,11/08/2013 03:30:00 PM,072XX S KEDZIE AVE,890,THEFT,FROM BUILDING,CHA PARKING LOT/GROUNDS,FALSE,FALSE,831,18,6,1156260,1856142,2013,11/28/2013 07:07:54 AM,41.761034003,-87.702862775,"(41.761034003, -87.702862775)"
HW528715,9385334,11/07/2013 07:00:00 AM,022XX S CENTRAL PARK AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,TRUE,1013,22,6,1152684,1888697,2013,11/28/2013 07:07:51 AM,41.850440707,-87.715110944,"(41.850440707, -87.715110944)"
HW527941,9384654,11/10/2013 06:30:00 AM,045XX N ASHLAND AVE,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1912,47,6,1164877,1930299,2013,11/28/2013 05:29:58 PM,41.964349842,-87.669178178,"(41.964349842, -87.669178178)"
HW526418,9383371,11/08/2013 10:28:00 PM,011XX N CLARK ST,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,1824,42,6,1175362,1908286,2013,11/28/2013 07:03:05 AM,41.903715947,-87.631290906,"(41.903715947, -87.631290906)"
HW525406,9383170,11/06/2013 02:45:00 PM,044XX S UNION AVE,810,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,925,11,6,1172336,1875299,2013,11/28/2013 07:08:25 AM,41.813264513,-87.643379708,"(41.813264513, -87.643379708)"
HW525945,9383049,11/07/2013 02:30:00 PM,069XX S MERRILL AVE,890,THEFT,FROM BUILDING,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,331,5,6,1191708,1859204,2013,11/28/2013 07:03:03 AM,41.768649989,-87.572845613,"(41.768649989, -87.572845613)"
HW523118,9380701,10/16/2013 10:00:00 AM,020XX N ORCHARD ST,820,THEFT,$500 AND UNDER,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1812,43,6,1171321,1913601,2013,11/28/2013 07:03:01 AM,41.91839038,-87.645977864,"(41.91839038, -87.645977864)"
HW523311,9380209,10/31/2013 12:10:00 PM,047XX N MARINE DR,860,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,1914,46,6,1170227,1931680,2013,11/28/2013 05:07:15 PM,41.968023867,-87.649467341,"(41.968023867, -87.649467341)"
HW521883,9378950,10/26/2013 05:00:00 PM,013XX N RITCHIE CT,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,1824,43,6,1176669,1909237,2013,11/28/2013 07:02:58 AM,41.906296082,-87.626461259,"(41.906296082, -87.626461259)"
HW522134,9378681,11/04/2013 08:00:00 AM,023XX S LAKE SHORE DR E,860,THEFT,RETAIL THEFT,RESTAURANT,TRUE,FALSE,132,2,6,1180548,1889118,2013,11/28/2013 07:07:32 AM,41.850999963,-87.612832832,"(41.850999963, -87.612832832)"
HW521140,9378041,11/05/2013 06:18:00 AM,046XX N MARINE DR,890,THEFT,FROM BUILDING,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,1914,46,6,1170325,1931238,2013,11/28/2013 05:05:52 PM,41.966808859,-87.649119983,"(41.966808859, -87.649119983)"
HW510417,9367090,10/27/2013 05:00:00 AM,026XX W LAWRENCE AVE,810,THEFT,OVER $500,BAR OR TAVERN,FALSE,FALSE,1911,47,6,1157953,1931742,2013,11/28/2013 05:02:42 PM,41.968453963,-87.694596219,"(41.968453963, -87.694596219)"
HW504141,9361345,10/23/2013 11:45:00 AM,063XX S ARTESIAN AVE,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,825,15,6,1161168,1862583,2013,11/28/2013 07:04:11 AM,41.778608906,-87.684696479,"(41.778608906, -87.684696479)"
HW495726,9352083,10/16/2013 07:30:00 PM,008XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1833,42,6,1177376,1906134,2013,11/28/2013 07:04:41 AM,41.897765295,-87.623958464,"(41.897765295, -87.623958464)"
HW543615,9400749,11/21/2013 01:30:00 PM,075XX N WESTERN AVE,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,2411,50,6,1158976,1949959,2013,11/28/2013 10:58:18 AM,42.018421122,-87.690331738,"(42.018421122, -87.690331738)"
HW542705,9399786,11/15/2013 04:00:00 PM,036XX N HALSTED ST,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1925,46,6,1170312,1924472,2013,11/28/2013 05:47:32 PM,41.948243019,-87.649366342,"(41.948243019, -87.649366342)"
HW542707,9399790,11/17/2013 05:18:00 PM,032XX N HALSTED ST,820,THEFT,$500 AND UNDER,ATHLETIC CLUB,FALSE,FALSE,1924,44,6,1170315,1921733,2013,11/28/2013 05:50:04 PM,41.94072703,-87.649435644,"(41.94072703, -87.649435644)"
HW538698,9394913,11/18/2013 05:09:00 PM,0000X E GRAND AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,1834,42,6,1176870,1903880,2013,11/28/2013 07:08:43 AM,41.891591674,-87.625885187,"(41.891591674, -87.625885187)"
HW534767,9391658,11/15/2013 11:16:00 AM,010XX W DIVISION ST,810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1822,32,6,1169273,1908220,2013,11/28/2013 07:08:37 AM,41.903669403,-87.653658985,"(41.903669403, -87.653658985)"
HW546168,9402903,11/24/2013 11:20:00 AM,033XX W MONROE ST,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,1124,28,6,1154085,1899376,2013,11/28/2013 10:38:00 AM,41.879717267,-87.709684261,"(41.879717267, -87.709684261)"
HW546214,9402958,11/24/2013 03:00:00 AM,013XX N CLAREMONT AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,1424,1,6,1160460,1908787,2013,11/28/2013 10:33:34 AM,41.905412341,-87.686015416,"(41.905412341, -87.686015416)"
HW546331,9402988,11/24/2013 12:55:00 PM,049XX N MILWAUKEE AVE,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,1623,45,6,1139458,1932238,2013,11/28/2013 10:42:27 AM,41.970173254,-87.76259005,"(41.970173254, -87.76259005)"
HW546015,9402766,11/23/2013 10:00:00 PM,013XX N PINE AVE,810,THEFT,OVER $500,STREET,FALSE,FALSE,2532,37,6,1139221,1908231,2013,11/28/2013 11:18:22 AM,41.904299913,-87.764047727,"(41.904299913, -87.764047727)"
HW546032,9402799,11/23/2013 11:00:00 PM,038XX W WABANSIA AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2535,30,6,1150668,1910987,2013,11/28/2013 11:11:28 AM,41.911646485,-87.721927271,"(41.911646485, -87.721927271)"
HW545622,9402483,11/23/2013 04:30:00 PM,011XX S CANAL ST,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,124,2,6,1173340,1895547,2013,11/28/2013 07:09:03 AM,41.868804524,-87.639096677,"(41.868804524, -87.639096677)"
